TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS
9547109;47;53;49;5322;102;
9547308;47;53;49;5301;94;
9547508;47;53;49;5324;92;
9547709;47;53;49;5315;110;
9547909;47;53;49;5315;94;
9548109;47;53;49;5305;103;
9548309;47;53;49;5316;87;
9548509;47;53;49;5301;94;
9548708;47;53;49;5311;99;
9548908;47;53;49;5318;97;
9549108;47;53;49;5313;101;
9549307;47;53;49;5317;90;
9549507;47;53;49;5309;94;
9549709;47;53;49;5298;87;
9549910;47;53;49;5297;92;
9550111;47;53;49;5321;94;
9550311;47;53;49;5319;97;
9550511;47;53;49;5312;83;
9550711;47;53;49;5317;99;
9550912;47;53;49;5318;92;
9551112;47;53;49;5298;96;
9551313;47;53;49;5309;110;
9551514;47;53;50;5303;92;
9551713;47;53;50;5295;94;
9551915;47;53;50;5309;104;
9552115;47;53;50;5311;96;
9552315;47;53;50;5313;97;
9552515;47;53;50;5313;99;
9552716;47;53;50;5316;104;
9552918;47;53;50;5311;94;
9553118;47;53;50;5315;96;
9553318;47;53;50;5320;96;
9553519;47;53;50;5316;94;
9553720;47;53;50;5317;94;
9553920;46;53;50;5316;86;
9554119;46;53;50;5313;85;
9554319;46;53;50;5305;112;
9554519;46;53;50;5302;92;
9554718;46;53;50;5313;96;
9554918;46;53;50;5314;108;
9555118;46;53;50;5303;103;
9555318;46;53;50;5309;91;
9555518;46;53;50;5305;109;
9555718;46;53;50;5313;100;
9555918;46;53;50;5309;83;
9556118;46;53;50;5299;90;
9556318;46;53;50;5308;87;
9556517;46;53;50;5311;86;
9556717;46;53;50;5315;96;
9556917;46;53;50;5301;95;
9557118;46;53;50;5318;100;
9557318;46;53;50;5308;96;
9557518;46;53;50;5295;87;
9557718;46;53;50;5309;101;
9557919;46;53;50;5312;88;
9558119;46;53;50;5310;101;
9558318;46;53;50;5302;96;
9558518;46;53;50;5307;108;
9558721;46;53;50;5317;80;
9558921;46;53;50;5310;92;
9559121;46;53;50;5303;106;
9559322;46;53;50;5323;96;
9559522;46;53;50;5309;97;
9559722;46;53;50;5303;98;
9559922;46;53;50;5307;93;
9560121;46;53;50;5299;100;
9560322;46;53;50;5311;92;
9560522;46;53;50;5318;91;
9560721;46;53;50;5315;100;
9560921;46;53;50;5306;91;
9561122;46;53;50;5306;94;
9561322;46;53;50;5310;104;
9561522;46;53;50;5309;100;
9561723;46;53;50;5315;94;
9561923;46;53;50;5314;96;
9562124;46;53;50;5308;96;
9562324;46;53;50;5308;99;
9562523;46;53;50;5320;97;
9562722;46;53;50;5300;97;
9562922;46;53;50;5316;86;
9563122;46;53;50;5307;100;
9563321;46;53;50;5327;110;
9563521;46;53;50;5313;99;
9563721;46;53;50;5308;86;
9563922;46;53;50;5311;98;
9564121;46;53;50;5317;108;
9564321;46;53;50;5307;108;
9564521;46;53;50;5309;93;
9564722;46;53;50;5303;103;
9564922;46;53;50;5314;96;
9565121;46;53;50;5311;98;
9565321;46;53;50;5325;89;
9565521;46;53;50;5323;107;
9565721;46;53;50;5324;96;
9565921;46;53;50;5304;92;
9566122;46;53;50;5305;98;
9566322;46;53;50;5322;96;
9566522;46;53;50;5318;94;
9566722;46;53;50;5306;101;
9566922;46;53;50;5303;94;
9567122;46;53;50;5314;96;
9567321;46;53;50;5308;86;
9567521;46;53;50;5309;91;
9567721;46;53;50;5312;96;
9567921;46;53;50;5306;81;
9568122;46;53;50;5315;101;
9568321;46;53;50;5305;100;
9568521;46;53;50;5313;97;
9568721;46;53;50;5292;98;
9568920;46;53;50;5314;88;
9569120;46;53;50;5302;101;
9569319;46;53;50;5312;90;
9569519;46;53;50;5311;110;
9569719;46;53;50;5325;105;
9569920;46;53;50;5310;95;
9570119;46;53;50;5307;86;
9570319;46;53;50;5315;98;
9570520;46;53;50;5307;99;
9570719;46;53;50;5305;101;
9570919;46;53;50;5323;94;
9571119;46;53;49;5311;105;
9571320;46;53;49;5306;97;
9571519;46;53;49;5306;94;
9571719;46;53;49;5315;95;
9571919;46;53;49;5308;101;
9572119;46;53;49;5309;98;
9572320;46;53;49;5296;86;
9572519;46;53;49;5326;100;
