Time,ADC_CH0,ADC_CH1,ADC_CH2,ADC_CH3,PWM_Val
0.01,3072,2875,2,908,216
0.08,2875,2875,2,744,330
0.15,2874,2875,2,743,375
0.22,2875,2875,2,740,261
0.29,2875,2874,2,743,261
0.36,2874,2875,2,738,375
0.44,2874,2875,3,746,330
0.51,2874,2874,2,742,216
0.58,2874,2875,2,742,307
0.66,2874,2875,2,747,398
0.73,2874,2875,2,743,284
0.80,2874,2875,2,739,239
0.87,2874,2875,2,745,353
0.95,2874,2875,2,738,353
1.01,2874,2875,3,750,239
1.08,2874,2874,2,738,284
1.16,2874,2875,3,750,398
1.23,2874,2875,2,739,307
1.30,2874,2874,2,744,216
1.37,2874,2875,2,742,330
1.44,2873,2875,2,742,375
1.51,2874,2875,3,745,261
1.58,2873,2875,2,742,261
1.65,2874,2874,2,742,375
1.72,2874,2874,3,745,330
1.80,2873,2875,2,741,216
1.88,2874,2875,2,739,307
1.95,2874,2874,2,745,398
2.02,2874,2875,2,739,284
2.09,2874,2875,3,749,239
2.17,2874,2874,2,739,353
2.24,2874,2875,2,743,353
2.31,2873,2874,2,739,239
2.38,2874,2875,2,743,284
2.45,2874,2874,2,739,398
2.52,2874,2875,2,744,307
2.59,2874,2875,2,739,216
2.66,2874,2874,3,749,330
2.72,2874,2874,2,739,375
2.81,2873,2874,2,740,261
2.88,2874,2875,2,743,261
2.94,2874,2874,2,739,375
3.01,2873,2875,2,743,330
3.09,2874,2874,2,740,216
3.16,2874,2874,2,743,307
3.23,2873,2874,2,739,398
3.29,2874,2874,2,745,284
3.36,2874,2874,2,739,239
3.43,2874,2875,3,747,353
3.50,2873,2874,2,743,353
3.57,2874,2874,2,739,239
3.63,2873,2874,2,743,284
3.70,2873,2875,2,740,398
3.77,2874,2875,2,741,307
3.84,2874,2875,2,743,216
3.91,2873,2874,2,739,330
3.99,2874,2875,2,743,375
4.09,2874,2874,2,739,261
4.17,2874,2874,3,748,261
4.24,2874,2874,2,742,375
4.31,2873,2874,3,743,330
4.38,2873,2874,3,749,216
4.44,2873,2875,2,739,307
4.51,2873,2874,2,742,398
4.58,2873,2874,3,747,284
4.65,2873,2874,2,740,239
4.72,2873,2874,3,746,353
4.79,2874,2874,2,740,353
4.86,2874,2875,2,743,239
4.94,2874,2874,2,743,284
5.01,2873,2874,2,740,398
5.07,2874,2874,2,744,307
5.14,2873,2874,2,740,216
5.21,2874,2874,3,748,330
5.28,2874,2874,2,741,375
5.35,2874,2875,2,740,261
5.42,2874,2874,2,743,261
5.48,2873,2874,3,744,375
5.55,2873,2874,2,742,330
5.62,2873,2874,2,742,216
5.69,2874,2875,2,741,307
5.76,2873,2874,2,743,398
5.84,2874,2875,2,743,284
5.91,2873,2874,2,740,239
5.97,2873,2875,2,743,353
6.06,2873,2875,2,745,353
6.13,2873,2875,2,742,239
6.20,2874,2874,2,741,284
6.27,2873,2874,2,741,398
6.34,2874,2874,2,743,307
6.41,2873,2875,2,740,216
6.47,2874,2875,3,748,330
6.54,2873,2875,3,746,375
6.61,2873,2874,2,740,261
6.68,2873,2875,3,747,261
6.75,2874,2874,2,742,375
6.82,2873,2874,2,742,330
6.89,2874,2875,2,741,216
6.96,2873,2874,2,743,307
7.04,2873,2875,2,743,398
7.10,2873,2874,2,740,284
7.17,2873,2874,3,748,239
7.24,2873,2875,3,746,353
7.31,2874,2875,3,745,353
7.38,2874,2875,2,743,239
7.45,2873,2875,2,740,284
7.51,2873,2875,2,743,398
7.58,2873,2875,2,742,307
7.65,2873,2874,3,745,216
7.72,2873,2874,2,743,330
7.78,2874,2874,2,740,375
7.86,2874,2875,2,744,261
7.94,2874,2874,2,743,261
8.00,2874,2874,2,740,375
8.07,2873,2874,2,742,330
8.14,2874,2874,2,743,216
8.22,2874,2874,2,743,307
8.30,2873,2875,2,743,398
8.37,2874,2875,2,739,284
8.43,2873,2874,2,743,239
8.50,2874,2875,2,741,353
8.57,2874,2875,2,740,353
8.64,2873,2874,2,743,239
8.70,2873,2875,2,739,284
8.77,2874,2875,2,742,398
8.84,2874,2874,2,743,307
8.92,2874,2874,2,743,216
8.98,2873,2874,2,740,330
9.05,2874,2874,3,745,375
9.12,2874,2875,3,748,261
9.19,2873,2875,2,743,261
9.26,2874,2874,3,746,375
9.33,2873,2874,2,740,330
9.41,2873,2874,2,740,216
9.48,2874,2875,2,741,307
9.55,2873,2874,3,745,398
9.62,2873,2874,2,743,284
9.69,2873,2874,2,742,239
9.76,2874,2874,2,743,353
9.83,2873,2875,2,740,353
9.89,2873,2874,3,748,239
9.96,2873,2874,2,741,284
10.03,2873,2875,2,740,398
10.09,2873,2875,3,748,307
10.16,2874,2874,2,741,216
10.23,2874,2875,2,742,330
10.31,2874,2875,2,742,375
