TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;TENSO
9270;0;0;0;5654.00;98.00;98.05;7.78;65.07;1.46
9277;0;0;0;5654.00;98.00;98.05;7.78;65.07;1.46
9285;0;0;0;5654.00;55.00;98.05;7.78;65.07;1.46
9290;0;0;0;5654.00;55.00;98.05;7.78;65.07;1.46
9296;0;0;0;5654.00;58.00;98.05;7.78;65.07;1.44
9301;0;0;0;5654.00;58.00;98.05;7.78;65.07;1.44
9307;0;0;0;5654.00;58.00;98.05;7.78;65.07;1.44
9312;0;0;0;5654.00;65.00;98.05;7.78;65.07;1.45
9317;0;0;0;5654.00;65.00;98.05;7.78;65.07;1.45
9323;0;0;0;5654.00;115.00;98.05;7.78;65.07;1.47
9328;0;0;0;5654.00;115.00;98.05;7.78;65.07;1.47
9335;0;0;0;5701.00;115.00;98.05;7.78;65.07;1.47
9341;0;0;0;5701.00;105.00;98.05;7.78;65.07;1.47
9346;0;0;0;5701.00;105.00;98.05;7.78;65.07;1.47
9352;0;0;0;5701.00;105.00;98.05;7.78;65.07;1.47
9357;0;0;0;5701.00;92.00;98.05;7.78;65.07;1.46
9365;0;0;0;5701.00;92.00;98.05;7.78;65.07;1.46
9371;0;0;0;5701.00;95.00;98.05;7.78;65.07;1.47
9377;0;0;0;5701.00;95.00;98.05;7.78;65.07;1.47
9382;0;0;0;5701.00;88.00;98.05;7.78;65.07;1.70
9388;0;0;0;5701.00;88.00;98.05;7.78;65.07;1.70
9393;0;0;0;5701.00;119.00;98.05;7.78;65.07;1.50
9403;0;0;0;5701.00;119.00;98.05;7.78;65.07;1.50
9409;0;0;0;5701.00;119.00;98.05;7.78;65.07;1.50
9414;0;0;0;5701.00;115.00;98.05;7.78;65.07;1.50
9420;0;0;0;5701.00;115.00;98.05;7.78;65.07;1.48
9425;0;0;0;5701.00;105.00;98.05;7.78;65.07;1.48
9431;0;0;0;5701.00;51.00;98.05;7.78;65.07;1.47
9439;0;0;0;5678.00;51.00;98.05;7.78;65.07;2.05
9445;0;0;0;5678.00;72.00;98.05;7.78;65.07;2.05
9450;0;0;0;5678.00;72.00;98.05;7.78;65.07;1.55
9455;0;0;0;5678.00;105.00;98.05;7.78;65.07;1.55
9461;0;0;0;5678.00;61.00;98.05;7.78;65.07;1.48
9467;0;0;0;5678.00;61.00;98.05;7.78;65.07;1.48
9473;0;0;0;5678.00;78.00;98.05;7.78;65.07;1.45
9479;0;0;0;5678.00;78.00;98.05;7.78;65.07;1.45
9484;0;0;0;5678.00;82.00;98.05;7.78;65.07;1.45
9489;0;0;0;5678.00;82.00;98.05;7.78;65.07;1.45
9495;0;0;0;5678.00;51.00;98.05;7.78;65.07;1.45
9501;0;0;0;5678.00;51.00;98.05;7.78;65.07;1.45
9507;0;0;0;5678.00;51.00;98.05;7.78;65.07;1.44
9513;0;0;0;5678.00;115.00;98.05;7.78;65.07;1.47
9518;0;0;0;5678.00;115.00;98.05;7.78;65.07;1.47
9524;0;0;0;5678.00;102.00;98.05;7.78;65.07;1.47
9529;0;0;0;5678.00;102.00;98.05;7.78;65.07;1.47
9535;0;0;0;5698.00;102.00;98.05;7.78;65.07;2.06
9541;0;0;0;5698.00;102.00;98.05;7.78;65.07;2.06
9547;0;0;0;5698.00;112.00;98.05;7.78;65.07;1.58
9554;0;0;0;5698.00;112.00;98.05;7.78;65.07;1.58
9559;0;0;0;5698.00;95.00;98.05;7.78;65.07;1.49
9565;0;0;0;5698.00;95.00;98.05;7.78;65.07;1.49
9570;0;0;0;5698.00;75.00;98.05;7.78;65.07;1.45
9576;0;0;0;5698.00;85.00;98.05;7.78;65.07;1.45
9581;0;0;0;5698.00;85.00;98.05;7.78;65.07;1.45
9593;0;0;0;5698.00;98.00;98.05;7.78;65.07;1.45
9598;0;0;0;5698.00;48.00;98.05;7.78;65.07;1.46
9604;0;0;0;5698.00;48.00;98.05;7.78;65.07;1.46
9609;0;0;0;5698.00;85.00;98.05;7.78;65.07;1.43
9615;0;0;0;5698.00;85.00;98.05;7.78;65.07;1.43
9620;0;0;0;5698.00;55.00;98.05;7.78;65.07;1.45
9625;0;0;0;5698.00;55.00;98.05;7.78;65.07;1.45
9631;0;0;0;5698.00;55.00;98.05;7.78;65.07;1.44
9636;0;0;0;5657.00;95.00;98.05;7.78;65.07;1.44
9642;0;0;0;5657.00;112.00;98.05;7.78;65.07;2.03
9648;0;0;0;5657.00;112.00;98.05;7.78;65.07;2.03
9653;0;0;0;5657.00;112.00;98.05;7.78;65.07;1.57
9659;0;0;0;5657.00;112.00;98.05;7.78;65.07;1.57
9665;0;0;0;5657.00;112.00;98.05;7.78;65.07;1.57
9670;0;0;0;5657.00;51.00;98.05;7.78;65.07;1.49
9675;0;0;0;5657.00;95.00;98.05;7.78;65.07;1.49
9681;0;0;0;5657.00;95.00;98.05;7.78;65.07;1.49
9686;0;0;0;5657.00;45.00;98.05;7.78;65.07;1.46
9694;0;0;0;5657.00;92.00;98.05;7.78;65.07;1.46
9702;0;0;0;5657.00;92.00;98.05;7.78;65.07;1.46
9707;0;0;0;5657.00;92.00;98.05;7.78;65.07;1.45
9713;0;0;0;5657.00;122.00;98.05;7.78;65.07;1.45
9718;0;0;0;5657.00;65.00;98.05;7.78;65.07;1.45
9724;0;0;0;5657.00;65.00;98.05;7.78;65.07;1.45
9729;0;0;0;5657.00;119.00;98.05;7.78;65.07;1.48
9734;0;0;0;5688.00;119.00;98.05;7.78;65.07;1.48
9740;0;0;0;5688.00;95.00;98.05;7.78;65.07;1.47
9745;0;0;0;5688.00;95.00;98.05;7.78;65.07;1.47
9752;0;0;0;5688.00;95.00;98.05;7.78;65.07;1.47
9757;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.47
9763;0;0;0;5688.00;72.00;98.05;7.78;65.07;1.70
9768;0;0;0;5688.00;72.00;98.05;7.78;65.07;1.70
9774;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.48
9779;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.48
9785;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.48
9791;0;0;0;5688.00;61.00;98.05;7.78;65.07;1.48
9797;0;0;0;5688.00;82.00;98.05;7.78;65.07;1.45
9802;0;0;0;5688.00;82.00;98.05;7.78;65.07;1.45
9807;0;0;0;5688.00;68.00;98.05;7.78;65.07;1.45
9813;0;0;0;5688.00;68.00;98.05;7.78;65.07;1.45
9818;0;0;0;5688.00;58.00;98.05;7.78;65.07;1.45
9824;0;0;0;5688.00;58.00;98.05;7.78;65.07;1.45
9830;0;0;0;5688.00;82.00;98.05;7.78;65.07;1.44
9835;0;0;0;5688.00;82.00;98.05;7.78;65.07;1.44
9843;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.45
9849;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.47
9854;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.47
9860;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.47
9866;0;0;0;5688.00;102.00;98.05;7.78;65.07;1.47
9871;0;0;0;5688.00;102.00;98.05;7.78;65.07;1.47
9877;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.47
9882;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.47
9888;0;0;0;5688.00;115.00;98.05;7.78;65.07;1.47
9893;0;0;0;5688.00;115.00;98.05;7.78;65.07;1.48
9900;0;0;0;5688.00;61.00;98.05;7.78;65.07;1.48
9908;0;0;0;5688.00;61.00;98.05;7.78;65.07;1.48
9913;0;0;0;5688.00;61.00;98.05;7.78;65.07;1.48
9919;0;0;0;5688.00;102.00;98.05;7.78;65.07;1.45
9925;0;0;0;5688.00;102.00;98.05;7.78;65.07;1.46
9930;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.46
9936;0;0;0;5688.00;112.00;98.05;7.78;65.07;1.47
9941;0;0;0;5654.00;105.00;98.05;7.78;65.07;1.47
9950;0;0;0;5654.00;105.00;98.05;7.78;65.07;1.47
9955;0;0;0;5654.00;58.00;98.05;7.78;65.07;1.47
9962;0;0;0;5654.00;58.00;98.05;7.78;65.07;1.44
9968;0;0;0;5654.00;61.00;98.05;7.78;65.07;1.44
9974;0;0;0;5654.00;61.00;98.05;7.78;65.07;1.44
9981;0;0;0;5654.00;105.00;98.05;7.78;65.07;1.44
9987;0;0;0;5654.00;105.00;98.05;7.78;65.07;1.47
9993;0;0;0;5654.00;58.00;98.05;7.78;65.07;1.44
10000;0;0;0;5654.00;58.00;98.05;7.78;65.07;1.44
10007;0;0;0;5654.00;72.00;98.05;7.78;65.07;1.44
10012;0;0;0;5654.00;115.00;98.05;7.78;65.07;1.44
10018;0;0;0;5654.00;115.00;98.05;7.78;65.07;1.47
10024;0;0;0;5654.00;72.00;98.05;7.78;65.07;1.47
10029;0;0;0;5654.00;72.00;98.05;7.78;65.07;1.44
10035;0;0;0;5654.00;108.00;98.05;7.78;65.07;1.44
10040;0;0;0;5661.00;108.00;98.05;7.78;65.07;1.47
10045;0;0;0;5661.00;68.00;98.05;7.78;65.07;1.46
10051;0;0;0;5661.00;68.00;98.05;7.78;65.07;1.46
10056;0;0;0;5661.00;88.00;98.05;7.78;65.07;1.45
10062;0;0;0;5661.00;88.00;98.05;7.78;65.07;1.45
10067;0;0;0;5661.00;112.00;98.05;7.78;65.07;1.47
10073;0;0;0;5661.00;112.00;98.05;7.78;65.07;1.47
10078;0;0;0;5661.00;108.00;98.05;7.78;65.07;1.48
10084;0;0;0;5661.00;108.00;98.05;7.78;65.07;1.48
10089;0;0;0;5661.00;108.00;98.05;7.78;65.07;1.48
10095;0;0;0;5661.00;108.00;98.05;7.78;65.07;1.48
10100;0;0;0;5661.00;78.00;98.05;7.78;65.07;1.45
10106;0;0;0;5661.00;108.00;98.05;7.78;65.07;1.45
10111;0;0;0;5661.00;108.00;98.05;7.78;65.07;1.47
10117;0;0;0;5661.00;112.00;98.05;7.78;65.07;1.47
10122;0;0;0;5661.00;112.00;98.05;7.78;65.07;1.47
10128;0;0;0;5661.00;58.00;98.05;7.78;65.07;1.47
10133;0;0;0;5661.00;58.00;98.05;7.78;65.07;1.44
10139;0;0;0;5661.00;98.00;98.05;7.78;65.07;1.44
10145;0;0;0;5701.00;98.00;98.05;7.78;65.07;2.07
10150;0;0;0;5701.00;108.00;98.05;7.78;65.07;2.07
10155;0;0;0;5701.00;108.00;98.05;7.78;65.07;1.58
10162;0;0;0;5701.00;112.00;98.05;7.78;65.07;1.58
10168;0;0;0;5701.00;112.00;98.05;7.78;65.07;1.49
10173;0;0;0;5701.00;108.00;98.05;7.78;65.07;1.49
10178;0;0;0;5701.00;108.00;98.05;7.78;65.07;1.48
10184;0;0;0;5701.00;102.00;98.05;7.78;65.07;1.48
10189;0;0;0;5701.00;102.00;98.05;7.78;65.07;1.47
10195;0;0;0;5701.00;115.00;98.05;7.78;65.07;1.47
10202;0;0;0;5701.00;108.00;98.05;7.78;65.07;1.48
10208;0;0;0;5701.00;108.00;98.05;7.78;65.07;1.48
10213;0;0;0;5701.00;92.00;98.05;7.78;65.07;1.48
10219;0;0;0;5701.00;92.00;98.05;7.78;65.07;1.46
10224;0;0;0;5701.00;112.00;98.05;7.78;65.07;1.46
10230;0;0;0;5701.00;112.00;98.05;7.78;65.07;1.46
10236;0;0;0;5701.00;112.00;98.05;7.78;65.07;1.47
10242;0;0;0;5701.00;122.00;98.05;7.78;65.07;1.47
10247;0;0;0;5691.00;122.00;98.05;7.78;65.07;2.06
10254;0;0;0;5691.00;105.00;100.00;7.77;65.07;2.06
10261;0;0;0;5691.00;85.00;100.00;7.77;65.07;1.58
10266;0;0;0;5691.00;85.00;100.00;7.77;65.07;1.47
10272;0;0;0;5691.00;115.00;100.00;7.77;65.07;1.47
10279;0;0;0;5691.00;115.00;100.00;7.77;65.07;1.48
10285;0;0;0;5691.00;68.00;100.00;7.77;65.07;1.48
10291;0;0;0;5691.00;68.00;100.00;7.77;65.07;1.48
10297;0;0;0;5691.00;102.00;100.00;7.77;65.07;1.46
10302;0;0;0;5691.00;102.00;100.00;7.77;65.07;1.46
10307;0;0;0;5691.00;61.00;100.00;7.77;65.07;1.45
10313;0;0;0;5691.00;61.00;100.00;7.77;65.07;1.45
10318;0;0;0;5691.00;82.00;100.00;7.77;65.07;1.45
10324;0;0;0;5691.00;82.00;100.00;7.77;65.07;1.45
10329;0;0;0;5691.00;72.00;100.00;7.77;65.07;1.45
10335;0;0;0;5691.00;72.00;100.00;7.77;65.07;1.44
10341;0;0;0;5691.00;125.00;100.00;7.77;65.07;1.44
10352;0;0;0;5691.00;125.00;100.00;7.77;65.07;1.47
10358;0;0;0;5678.00;125.00;100.00;7.77;65.07;1.47
10363;0;0;0;5678.00;78.00;100.00;7.77;65.07;1.47
10369;0;0;0;5678.00;78.00;100.00;7.77;65.07;1.45
10374;0;0;0;5678.00;75.00;100.00;7.77;65.07;1.45
10379;0;0;0;5678.00;75.00;100.00;7.77;65.07;1.44
10385;0;0;0;5678.00;92.00;100.00;7.77;65.07;1.44
10390;0;0;0;5678.00;92.00;100.00;7.77;65.07;1.46
10396;0;0;0;5678.00;92.00;100.00;7.77;65.07;1.46
10402;0;0;0;5678.00;112.00;100.00;7.77;65.07;1.47
10407;0;0;0;5678.00;98.00;100.00;7.77;65.07;1.47
10413;0;0;0;5678.00;98.00;100.00;7.77;65.07;1.46
10418;0;0;0;5678.00;61.00;100.00;7.77;65.07;1.46
10427;0;0;0;5678.00;61.00;100.00;7.77;65.07;1.45
10433;0;0;0;5678.00;92.00;100.00;7.77;65.07;1.46
10439;0;0;0;5678.00;58.00;100.00;7.77;65.07;1.46
10445;0;0;0;5678.00;58.00;100.00;7.77;65.07;1.44
10450;0;0;0;5661.00;68.00;100.00;7.77;65.07;1.44
10455;0;0;0;5661.00;68.00;100.00;7.77;65.07;1.45
10461;0;0;0;5661.00;112.00;100.00;7.77;65.07;1.45
10467;0;0;0;5661.00;112.00;100.00;7.77;65.07;1.47
10472;0;0;0;5661.00;119.00;100.00;7.77;65.07;1.47
10478;0;0;0;5661.00;119.00;100.00;7.77;65.07;1.48
10483;0;0;0;5661.00;108.00;100.00;7.77;65.07;1.48
10488;0;0;0;5661.00;108.00;100.00;7.77;65.07;1.48
10494;0;0;0;5661.00;82.00;100.00;7.77;65.07;1.48
10499;0;0;0;5661.00;82.00;100.00;7.77;65.07;1.46
10505;0;0;0;5661.00;95.00;100.00;7.77;65.07;1.46
10510;0;0;0;5661.00;95.00;100.00;7.77;65.07;1.46
10517;0;0;0;5661.00;95.00;100.00;7.77;65.07;1.46
10522;0;0;0;5661.00;95.00;100.00;7.77;65.07;1.46
10527;0;0;0;5661.00;95.00;100.00;7.77;65.07;1.46
10534;0;0;0;5661.00;95.00;100.00;7.77;65.07;1.47
10540;0;0;0;5661.00;68.00;100.00;7.77;65.07;1.46
10546;0;0;0;5661.00;58.00;100.00;7.77;65.07;1.46
10551;0;0;0;5668.00;58.00;100.00;7.77;65.07;2.05
10556;0;0;0;5668.00;58.00;100.00;7.77;65.07;2.05
10562;0;0;0;5668.00;58.00;100.00;7.77;65.07;1.55
10567;0;0;0;5668.00;82.00;100.00;7.77;65.07;1.55
10573;0;0;0;5668.00;82.00;100.00;7.77;65.07;1.47
10578;0;0;0;5668.00;102.00;100.00;7.77;65.07;1.47
10584;0;0;0;5668.00;102.00;100.00;7.77;65.07;1.47
10589;0;0;0;5668.00;58.00;100.00;7.77;65.07;1.47
10595;0;0;0;5668.00;58.00;100.00;7.77;65.07;1.44
10600;0;0;0;5668.00;112.00;100.00;7.77;65.07;1.44
10605;0;0;0;5668.00;112.00;100.00;7.77;65.07;1.47
10611;0;0;0;5668.00;102.00;100.00;7.77;65.07;1.47
10616;0;0;0;5668.00;102.00;100.00;7.77;65.07;1.47
