TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;TENSO
7748527;180;177;0;5187.00;102.00;100.00;7.78;62.70;0.00
7748533;180;177;0;5228.00;142.00;100.00;7.78;62.70;0.00
7748538;180;177;0;5228.00;102.00;100.00;7.78;62.70;0.00
7748543;180;177;0;5228.00;155.00;100.00;7.78;62.70;0.00
7748549;180;177;0;5228.00;155.00;100.00;7.78;62.70;0.00
7748555;180;177;0;5228.00;95.00;100.00;7.78;62.70;0.00
7748560;180;177;0;5228.00;149.00;100.00;7.78;62.70;0.00
7748566;180;177;0;5228.00;129.00;100.00;7.78;62.70;0.00
7748571;180;177;0;5171.00;145.00;100.00;7.78;62.70;0.00
7748577;180;177;0;5171.00;105.00;100.00;7.78;62.70;0.00
7748582;180;177;0;5171.00;129.00;100.00;7.78;62.70;0.00
7748587;180;177;0;5171.00;149.00;100.00;7.78;62.70;0.00
7748593;180;177;0;5194.00;125.00;100.00;7.78;62.70;0.00
7748599;180;177;0;5194.00;129.00;100.00;7.78;62.70;0.00
7748604;180;177;0;5194.00;132.00;100.00;7.78;62.70;0.00
7748610;180;177;0;5194.00;132.00;100.00;7.78;62.70;0.00
7748615;180;177;0;5231.00;162.00;100.00;7.78;62.70;0.00
7748622;180;177;0;5231.00;149.00;100.00;7.78;62.70;0.00
7748628;180;177;0;5231.00;149.00;100.00;7.78;62.70;0.00
7748634;180;177;0;5238.00;142.00;100.00;7.78;62.70;0.00
7748640;180;177;0;5238.00;115.00;100.00;7.78;62.70;0.00
7748645;180;177;0;5238.00;142.00;100.00;7.78;62.70;0.00
7748651;180;177;0;5238.00;142.00;100.00;7.78;62.70;0.00
7748656;180;177;0;5221.00;132.00;100.00;7.78;62.70;0.00
7748662;180;177;0;5221.00;155.00;100.00;7.78;62.70;0.00
7748668;180;177;0;5221.00;102.00;100.00;7.78;62.70;0.00
7748674;180;177;0;5221.00;152.00;100.00;7.78;62.70;0.00
7748679;180;177;0;5234.00;155.00;100.00;7.78;62.70;0.00
7748686;180;177;0;5234.00;159.00;100.00;7.78;62.70;0.00
7748692;180;177;0;5234.00;108.00;100.00;7.78;62.70;0.00
7748699;180;177;0;5234.00;108.00;100.00;7.78;62.70;0.00
7748706;180;177;0;5224.00;155.00;100.00;7.78;62.70;0.00
7748715;180;177;0;5224.00;105.00;100.00;7.78;62.70;0.00
7748723;180;177;0;5187.00;105.00;100.00;7.78;62.70;0.00
7748732;180;177;0;5187.00;152.00;100.00;7.78;62.70;0.00
7748737;180;177;0;5187.00;152.00;100.00;7.78;62.70;0.00
7748743;180;177;0;5187.00;152.00;100.00;7.78;62.70;0.00
