timestamp,fcfileloggerapp_loggingstate,engineservice_currentmode,envapp_newboardtempevent1,envapp_newboardtempevent2,envapp_newboardtempevent3,envapp_newchamberpressevent1,envapp_newoxidizerpressevent,envapp_newpressurefeedpressevent,envapp_newtempevent_1,envapp_newtempevent_2,envapp_newtempevent_3,secenvapp_newboardtempevent1,secenvapp_newboardtempevent2,secenvapp_newboardtempevent3,secenvapp_newchamberpressevent2,secenvapp_newchamberpressevent3,secenvapp_newethanolpressevent,servoservice_newoxidizerdumpvalveevent,servoservice_newoxidizermainvalveevent,servoservice_newoxidizerventvalveevent,servoservice_newpressurefeedmainevent,servoservice_newpressurefeedventevent,secservoservice_newethanolmainvalveevent,secservoservice_newethanolventvalveevent,sysstatservice_newsystemusage,envappfc_newbme280event,envappfc_newboardtempevent_1,envappfc_newboardtempevent_2,envappfc_newboardtempevent_3,envappfc_newimuevent,recoveryservice_newparachutestatusevent,gpsservice_gpsrmcstatusevent,gpsservice_gpsstatusevent,gpsservice_gpsvtgstatusevent,primerservice_primestatusevent,fcsysstatservice_newsystemusage,mainservice_currentmodestatusevent
2026-07-13 05:19:31.637147,,2,23.0,24.7,25.5,1.02,52.81,101.61,16.2,,,22.5,23.0,22.2,-23.91,1.39,40.19,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:31.741015,,2,23.0,24.7,25.5,1.35,53.22,102.01,16.2,,,22.5,23.0,22.2,-23.91,1.39,40.06,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:31.844204,,2,23.0,24.7,26.0,0.98,52.34,103.22,16.2,,,22.5,23.0,22.2,-23.91,0.92,40.19,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:31.947805,,2,23.0,24.7,26.0,0.92,53.28,102.14,16.2,,,22.5,23.0,22.2,-23.91,0.75,40.39,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.051857,,2,23.0,24.7,26.0,1.25,53.28,102.14,16.2,,,22.5,23.0,22.2,-23.91,1.35,40.53,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.156607,,2,23.0,24.7,26.0,0.75,53.52,101.34,16.2,,,22.5,23.0,22.2,-23.91,0.98,40.22,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.259784,,2,23.0,24.7,26.0,0.45,52.85,100.13,16.2,,,22.5,23.0,22.2,-23.91,1.22,40.46,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.375518,,2,23.0,24.7,26.0,1.39,53.22,102.95,16.2,,,22.5,23.0,22.2,-23.91,1.35,39.96,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.479319,,2,23.0,24.7,26.0,0.72,52.88,102.28,16.2,,,22.5,23.0,22.2,-23.91,1.42,40.49,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.583346,,2,23.0,24.7,26.0,0.95,52.98,102.95,16.2,,,22.5,23.0,22.2,-23.91,1.32,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.686672,,2,23.0,24.7,26.0,1.89,52.92,99.99,16.2,,,22.5,23.0,22.2,-23.91,0.92,40.36,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.790046,,2,23.0,24.7,26.0,0.92,53.05,104.16,16.2,,,22.5,23.0,22.2,-23.91,1.02,40.22,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.893727,,2,23.0,24.7,26.0,1.02,53.99,104.56,16.2,,,22.5,23.0,22.2,-23.91,1.15,40.39,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:32.997261,,2,23.0,24.7,26.0,1.55,53.82,101.34,16.2,,,22.5,23.0,22.2,-23.91,1.15,39.92,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.101142,,2,23.0,24.7,26.0,1.25,53.45,102.01,16.2,,,22.5,23.0,22.2,-23.91,1.25,40.59,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.205062,,2,23.0,24.7,26.0,1.42,53.82,102.41,16.2,,,22.5,23.0,22.2,-23.91,1.02,39.96,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.315958,,2,23.0,24.7,26.0,1.59,53.92,99.73,16.2,,,22.5,23.0,22.2,-23.91,1.19,40.29,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.420841,,2,23.0,24.7,26.0,1.25,54.53,100.93,16.2,,,22.5,23.0,22.2,-23.91,0.72,40.36,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.524350,,2,23.0,24.7,26.0,1.02,54.02,102.14,16.2,,,22.5,23.0,22.2,-23.91,1.08,40.36,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.628204,,2,23.0,24.7,26.0,1.55,54.26,102.14,16.2,,,22.5,23.0,22.2,-23.91,0.98,40.26,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.734531,,2,23.0,24.7,26.0,0.85,53.59,101.34,16.2,,,22.5,23.0,22.2,-23.91,1.35,40.49,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.839031,,2,23.0,24.7,26.0,1.02,53.86,99.73,16.2,,,22.5,23.0,22.2,-23.91,1.49,40.46,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:33.942571,,2,23.0,24.7,26.0,1.25,53.42,104.02,16.2,,,22.5,23.0,22.2,-23.91,0.92,40.09,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.045965,,2,23.0,24.7,26.0,0.68,53.92,100.8,16.2,,,22.5,23.0,22.2,-23.91,0.78,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.150057,,2,23.0,24.7,26.0,1.72,53.92,98.92,16.2,,,22.5,23.0,22.2,-23.91,1.15,40.09,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.253427,,2,23.0,24.7,26.0,1.49,54.66,99.73,16.2,,,22.5,23.0,22.2,-23.91,0.85,40.26,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.368498,,2,23.0,24.7,26.0,0.98,53.96,99.73,16.2,,,22.5,23.0,22.2,-23.91,0.72,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.474428,,2,23.0,24.7,26.0,0.92,54.39,101.74,16.2,,,22.5,23.0,22.2,-23.91,1.22,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.578412,,2,23.0,24.7,26.0,1.05,54.06,99.86,16.2,,,22.5,23.0,22.2,-23.91,0.82,40.53,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.681572,,2,23.0,24.7,26.0,1.42,54.12,101.74,16.2,,,22.5,23.0,22.2,-23.91,0.95,40.36,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.785060,,2,23.0,24.7,26.0,1.15,54.66,99.99,16.2,,,22.5,23.0,22.2,-23.91,0.78,40.33,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.889649,,2,23.0,24.7,26.0,1.49,54.86,102.41,16.2,,,22.5,23.0,22.2,-23.91,1.35,39.96,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:34.992951,,2,23.0,24.7,26.0,1.32,54.9,101.47,16.2,,,22.5,23.0,22.2,-23.91,1.12,40.59,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.096989,,2,23.0,24.7,26.0,0.58,54.66,101.34,16.2,,,22.5,23.0,22.2,-23.91,0.72,40.63,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.201029,,2,23.0,24.7,26.0,1.35,54.49,101.34,16.2,,,22.5,23.0,22.2,-23.91,1.35,40.16,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.304411,,2,23.0,24.7,26.0,1.19,54.86,100.93,16.2,,,22.5,23.0,22.2,-23.91,1.29,40.06,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
