ts,id,T,P
-0.755,BARO0,48.65,94078
-0.745,BARO0,48.64,94072
-0.735,BARO0,48.65,94070
-0.725,BARO0,48.66,94078
-0.715,BARO0,48.64,94061
-0.705,BARO0,48.65,94057
-0.695,BARO0,48.64,94058
-0.685,BARO0,48.68,94091
-0.675,BARO0,48.66,94062
-0.665,BARO0,48.64,94066
-0.655,BARO0,48.65,94065
-0.645,BARO0,48.65,94079
-0.635,BARO0,48.64,94048
-0.625,BARO0,48.64,94086
-0.615,BARO0,48.65,94086
-0.605,BARO0,48.65,94060
-0.595,BARO0,48.66,94074
-0.585,BARO0,48.65,94069
-0.575,BARO0,48.65,94047
-0.565,BARO0,48.65,94056
-0.555,BARO0,48.67,94072
-0.545,BARO0,48.64,94058
-0.535,BARO0,48.64,94079
-0.525,BARO0,48.64,94074
-0.515,BARO0,48.64,94058
-0.505,BARO0,48.65,94066
-0.495,BARO0,48.67,94077
-0.485,BARO0,48.63,94059
-0.475,BARO0,48.65,94078
-0.465,BARO0,48.66,94062
-0.455,BARO0,48.65,94067
-0.445,BARO0,48.66,94047
-0.435,BARO0,48.65,94054
-0.425,BARO0,48.65,94050
-0.415,BARO0,48.64,94070
-0.405,BARO0,48.65,94042
-0.395,BARO0,48.65,94066
-0.385,BARO0,48.67,94071
-0.375,BARO0,48.64,94071
-0.365,BARO0,48.64,94059
-0.355,BARO0,48.64,94055
-0.345,BARO0,48.64,94052
-0.335,BARO0,48.63,94066
-0.325,BARO0,48.64,94050
-0.315,BARO0,48.66,94084
-0.305,BARO0,48.64,94061
-0.295,BARO0,48.64,94082
-0.285,BARO0,48.64,94065
-0.275,BARO0,48.65,94053
-0.265,BARO0,48.65,94090
-0.255,BARO0,48.66,94060
-0.245,BARO0,48.64,94049
-0.235,BARO0,48.65,94090
-0.225,BARO0,48.66,94071
-0.215,BARO0,48.65,94061
-0.205,BARO0,48.67,94049
-0.195,BARO0,48.62,94071
-0.185,BARO0,48.66,94052
-0.175,BARO0,48.65,94079
-0.165,BARO0,48.66,94072
-0.155,BARO0,48.66,93994
-0.145,BARO0,48.64,94024
-0.135,BARO0,48.64,94020
-0.125,BARO0,48.64,94115
-0.115,BARO0,48.65,93907
-0.105,BARO0,48.63,94082
-0.095,BARO0,48.65,94013
-0.085,BARO0,48.65,93968
-0.075,BARO0,48.65,93912
-0.065,BARO0,48.65,94080
-0.055,BARO0,48.67,94042
-0.045,BARO0,48.64,93980
-0.035,BARO0,48.64,93958
-0.025,BARO0,48.64,93976
-0.015,BARO0,48.64,94045
-0.005,BARO0,48.64,93967
0.005,BARO0,48.65,94020
0.015,BARO0,48.65,94007
0.025,BARO0,48.66,94003
0.035,BARO0,48.65,93976
0.045,BARO0,48.67,94003
0.055,BARO0,48.64,93995
0.065,BARO0,48.65,93984
0.075,BARO0,48.65,94070
0.085,BARO0,48.65,93999
0.095,BARO0,48.66,93932
0.105,BARO0,48.63,94025
0.115,BARO0,48.65,93961
0.125,BARO0,48.64,94024
0.135,BARO0,48.65,93914
0.145,BARO0,48.64,94065
0.155,BARO0,48.67,93934
0.165,BARO0,48.63,94030
0.175,BARO0,48.65,93933
0.185,BARO0,48.65,94024
0.195,BARO0,48.65,94013
0.205,BARO0,48.65,93975
0.215,BARO0,48.66,93954
0.225,BARO0,48.66,93970
0.235,BARO0,48.64,93916
0.245,BARO0,48.66,94014
0.255,BARO0,48.64,93858
0.265,BARO0,48.64,94044
