ts,latitude,longitude,satellites
-0.42,35.347103118896484,-117.80921936035156,11
0.78,35.34708786010742,-117.80923461914062,10
0.98,35.34708786010742,-117.80923461914062,10
1.18,35.347023010253906,-117.80931854248047,8
1.38,35.34698486328125,-117.80936431884766,8
2.18,35.34673309326172,-117.80967712402344,7
2.78,35.34660339355469,-117.8098373413086,6
2.98,35.34660339355469,-117.8098373413086,6
3.18,35.34640884399414,-117.8100814819336,7
3.38,35.34640884399414,-117.8100814819336,7
3.78,35.34627914428711,-117.81024169921875,7
3.98,35.34614944458008,-117.81040954589844,7
4.18,35.34608459472656,-117.81048583984375,6
4.38,35.34608459472656,-117.81048583984375,4
4.58,35.34596252441406,-117.8106460571289,4
4.98,35.34584426879883,-117.81079864501953,5
5.18,35.34584426879883,-117.81079864501953,5
5.78,35.34567642211914,-117.8110122680664,5
5.98,35.34567642211914,-117.8110122680664,5
6.28,35.345516204833984,-117.81121826171875,5
6.58,35.34540939331055,-117.81135559082031,5
6.78,35.34536361694336,-117.8114242553711,4
6.98,35.345314025878906,-117.81148529052734,4
7.18,35.34526824951172,-117.8115463256836,5
7.38,35.34522247314453,-117.81160736083984,7
7.78,35.34518051147461,-117.81166076660156,6
7.98,35.34518051147461,-117.81166076660156,6
8.28,35.34505844116211,-117.81182098388672,6
8.78,35.34499740600586,-117.8119125366211,6
8.98,35.34499740600586,-117.8119125366211,6
9.38,35.34485626220703,-117.81210327148438,7
9.58,35.34482955932617,-117.81214141845703,7
10.18,35.34482955932617,-117.81214141845703,8
10.38,35.34482955932617,-117.81214141845703,7
10.58,35.34474182128906,-117.8122787475586,7
11.38,35.344661712646484,-117.81240844726562,8
11.78,35.344642639160156,-117.81243133544922,8
11.98,35.344642639160156,-117.81243133544922,8
12.18,35.34461212158203,-117.81249237060547,7
12.38,35.34461212158203,-117.81249237060547,8
12.58,35.344635009765625,-117.8124771118164,8
12.78,35.34464645385742,-117.81246948242188,7
12.98,35.34464645385742,-117.81246948242188,7
13.58,35.344608306884766,-117.81254577636719,7
13.78,35.34458923339844,-117.81257629394531,6
13.98,35.34458923339844,-117.81257629394531,6
14.98,35.34456253051758,-117.8126449584961,7
15.18,35.34456253051758,-117.8126449584961,7
15.38,35.34456253051758,-117.81266021728516,8
15.78,35.344573974609375,-117.81265258789062,6
15.98,35.3445930480957,-117.8126449584961,6
16.18,35.3445930480957,-117.8126449584961,5
16.28,35.3446044921875,-117.81262969970703,5
16.78,35.34465408325195,-117.81259155273438,4
16.98,35.344669342041016,-117.81258392333984,4
