ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,8.583,1.827,1,4.689
-0.74,8.583,1.827,1,4.689
-0.73,8.583,1.827,1.001,4.689
-0.72,8.583,1.827,1.001,4.688
-0.71,8.583,1.827,1.001,4.688
-0.7,8.583,1.827,1.001,4.688
-0.69,8.583,1.827,1.001,4.688
-0.68,8.583,1.827,1.001,4.688
-0.67,8.583,1.827,1.001,4.688
-0.66,8.583,1.827,1.001,4.688
-0.65,8.583,1.827,1.001,4.688
-0.64,8.583,1.827,1.001,4.688
-0.63,8.583,1.827,1.001,4.687
-0.62,8.583,1.827,1.001,4.687
-0.61,8.583,1.827,1.001,4.687
-0.6,8.583,1.827,1.001,4.687
-0.59,8.583,1.827,1.001,4.687
-0.58,8.584,1.827,1.001,4.687
-0.57,8.584,1.827,1.001,4.687
-0.56,8.584,1.827,1.001,4.687
-0.55,8.584,1.827,1.001,4.686
-0.54,8.584,1.827,1.001,4.686
-0.53,8.584,1.828,1.001,4.686
-0.52,8.584,1.828,1.001,4.686
-0.51,8.584,1.828,1.001,4.686
-0.5,8.584,1.828,1.001,4.686
-0.49,8.584,1.828,1.001,4.686
-0.48,8.584,1.828,1.001,4.686
-0.47,8.584,1.828,1.001,4.685
-0.46,8.584,1.828,1.001,4.685
-0.45,8.584,1.828,1.001,4.685
-0.44,8.584,1.828,1.002,4.685
-0.43,8.584,1.828,1.002,4.685
-0.42,8.584,1.828,1.001,4.685
-0.41,8.584,1.828,1.001,4.685
-0.4,8.585,1.827,1.001,4.685
-0.39,8.586,1.83,0.996,4.683
-0.38,8.586,1.828,0.995,4.683
-0.37,8.586,1.829,0.994,4.683
-0.36,8.587,1.829,0.993,4.682
-0.35,8.587,1.829,0.994,4.682
-0.34,8.587,1.829,0.994,4.682
-0.33,8.587,1.829,0.994,4.682
-0.32,8.587,1.828,0.995,4.682
-0.31,8.586,1.828,0.996,4.682
-0.3,8.587,1.828,0.996,4.682
-0.29,8.587,1.828,0.996,4.682
-0.28,8.587,1.828,0.996,4.682
-0.27,8.587,1.828,0.995,4.682
-0.26,8.587,1.828,0.995,4.681
-0.25,8.587,1.828,0.995,4.681
-0.24,8.587,1.828,0.995,4.681
-0.23,8.587,1.828,0.995,4.681
-0.22,8.587,1.827,0.996,4.681
-0.21,8.587,1.827,0.997,4.681
-0.2,8.587,1.827,0.998,4.681
-0.19,8.587,1.826,0.999,4.682
-0.18,8.587,1.827,1,4.681
-0.17,8.587,1.827,1,4.681
-0.16,8.587,1.827,1.001,4.681
-0.15,8.587,1.827,1.002,4.681
