TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;TENSO
18973;0;0;0;5490.00;55.00;100.00;8.02;64.82;1.46
18978;0;0;0;5490.00;55.00;100.00;8.02;64.82;1.46
18984;0;0;0;5490.00;115.00;100.00;8.02;64.82;1.44
18989;0;0;0;5490.00;115.00;100.00;8.02;64.82;1.44
18995;0;0;0;5490.00;48.00;100.00;8.02;64.82;1.43
19000;0;0;0;5490.00;48.00;100.00;8.02;64.82;1.43
19006;0;0;0;5490.00;98.00;100.00;8.02;64.82;1.45
19011;0;0;0;5490.00;98.00;100.00;8.02;64.82;1.45
19017;0;0;0;5490.00;105.00;100.00;8.02;64.82;1.45
19024;0;0;0;5490.00;105.00;100.00;8.02;64.82;1.47
19031;0;0;0;5490.00;58.00;100.00;8.02;64.82;1.44
19038;0;0;0;5490.00;102.00;100.00;8.02;64.82;1.44
19044;0;0;0;5490.00;102.00;100.00;8.02;64.82;1.46
19052;0;0;0;5490.00;85.00;100.00;8.02;64.82;1.46
19057;0;0;0;5490.00;85.00;100.00;8.02;64.82;1.45
19063;0;0;0;5490.00;72.00;100.00;8.02;64.82;1.45
19068;0;0;0;5490.00;72.00;100.00;8.02;64.82;1.44
19074;0;0;0;5490.00;115.00;100.00;8.02;64.82;1.47
19080;0;0;0;5490.00;115.00;100.00;8.02;64.82;1.47
19085;0;0;0;5490.00;112.00;100.00;8.02;64.82;1.47
19091;0;0;0;5490.00;112.00;100.00;8.02;64.82;1.47
19096;0;0;0;5490.00;108.00;100.00;8.02;64.82;1.48
19102;0;0;0;5490.00;108.00;100.00;8.02;64.82;1.48
19107;0;0;0;5490.00;61.00;100.00;8.02;64.82;1.45
19112;0;0;0;5490.00;112.00;100.00;8.02;64.82;1.45
19118;0;0;0;5490.00;112.00;100.00;8.02;64.82;1.47
19123;0;0;0;5490.00;102.00;100.00;8.02;64.82;1.47
19129;0;0;0;5490.00;102.00;100.00;8.02;64.82;1.47
19134;0;0;0;5490.00;72.00;100.00;8.02;64.82;1.47
19140;0;0;0;5490.00;72.00;100.00;8.02;64.82;1.44
19145;0;0;0;5490.00;72.00;100.00;8.02;64.82;1.44
19151;0;0;0;5490.00;72.00;100.00;8.02;64.82;1.95
19156;0;0;0;5490.00;115.00;100.00;8.02;64.82;1.95
19161;0;0;0;5490.00;115.00;100.00;8.02;64.82;1.57
19167;0;0;0;5490.00;82.00;100.00;8.02;64.82;1.57
